mean_off,acc_lenet,acc_retinet
-2.0,0.8075061440467834,0.7355562448501587
-1.8,0.8126152157783508,0.757106602191925
-1.6,0.8189151883125305,0.7749308347702026
-1.4,0.8250614404678345,0.7933312654495239
-1.2,0.8326290845870972,0.8113091588020325
-1.0,0.8386601209640503,0.8268669247627258
-0.8,0.8467655181884766,0.8410418033599854
-0.6,0.8550629615783691,0.8521435260772705
-0.4,0.8619007468223572,0.8622848391532898
-0.2,0.8665104508399963,0.8667793273925781
0.0,0.8682006597518921,0.8689689636230469
0.2,0.8625921607017517,0.8645128607749939
0.4,0.8272510766983032,0.8386216759681702
0.6,0.6418638229370117,0.7802320122718811
0.8,0.3064689636230469,0.6762061715126038
1.0,0.08113091439008713,0.5360710024833679
1.2,0.013099262490868568,0.3879840075969696
1.4,0.005339581985026598,0.2727412283420563
1.6,0.005531653296202421,0.1875
1.8,0.005646896082907915,0.13156883418560028
2.0,0.0056084818206727505,0.09342347830533981
