var_resc,acc_lenet,acc_retinet
0.1,0.7233020663261414,0.6835048794746399
0.3,0.8448063731193542,0.8097341656684875
0.5,0.8609787821769714,0.8516825437545776
0.7,0.8662799596786499,0.8675091862678528
0.9,0.868162214756012,0.875614583492279
1.1,0.868354320526123,0.8778810501098633
1.3,0.867393970489502,0.8771511912345886
1.5,0.8647817969322205,0.8726183176040649
1.7,0.8623616695404053,0.8669329881668091
1.9,0.858212947845459,0.8593654036521912
2.1,0.8529502153396606,0.8514136075973511
2.3,0.846650242805481,0.8411186337471008
2.5,0.8391210436820984,0.8296711444854736
2.7,0.8320528268814087,0.8151121735572815
2.9,0.82513827085495,0.8002842664718628
3.1,0.8161877393722534,0.7848033308982849
3.3,0.8062768578529358,0.7679010033607483
3.5,0.7968654036521912,0.752035915851593
3.7,0.7867240309715271,0.7347111105918884
3.9,0.776390552520752,0.716618001461029
