var_resc,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
0.1,0.7233020663261414,0.8349339365959167,0.8072372674942017,0.8461124897003174,0.8783036470413208,0.8486862182617188,0.8690073490142822
2.5,0.8391211032867432,0.8519514203071594,0.8583282232284546,0.5870466828346252,0.8783036470413208,0.8743085265159607,0.8856023550033569
4.9,0.7163106799125671,0.8463429808616638,0.7475414872169495,0.3100030720233917,0.8783420324325562,0.7903349995613098,0.8836047649383545
7.3,0.5592731833457947,0.8388137817382812,0.6099032163619995,0.22172710299491882,0.8784188628196716,0.6642977595329285,0.8741548657417297
9.7,0.43550246953964233,0.8198371529579163,0.49550554156303406,0.2006760835647583,0.8781883716583252,0.5402197241783142,0.858712375164032
12.1,0.3533727824687958,0.7932928800582886,0.41360631585121155,0.19652734696865082,0.8780347108840942,0.44257068634033203,0.8359326720237732
14.5,0.29878610372543335,0.7572987079620361,0.3530270457267761,0.1960279643535614,0.8780347108840942,0.36566534638404846,0.8093884587287903
16.9,0.26594191789627075,0.7175399661064148,0.30965733528137207,0.19587430357933044,0.877689003944397,0.31011831760406494,0.7791564464569092
19.3,0.24289336800575256,0.6720190644264221,0.28065457940101624,0.19587430357933044,0.8773048520088196,0.2697833478450775,0.748578667640686
21.7,0.22894898056983948,0.627535343170166,0.2592194080352783,0.19587430357933044,0.8771128058433533,0.2426244616508484,0.7175015211105347
24.1,0.21923017501831055,0.5831284523010254,0.24377688765525818,0.19587430357933044,0.8770743608474731,0.2256837785243988,0.6830823421478271
26.5,0.2122003734111786,0.540834367275238,0.2321757823228836,0.19587430357933044,0.8766902089118958,0.21592655777931213,0.6505839228630066
28.9,0.20728334784507751,0.49900123476982117,0.2238398939371109,0.19587430357933044,0.8766518235206604,0.20816686749458313,0.6177012920379639
31.3,0.20467117428779602,0.4638521671295166,0.21642594039440155,0.19587430357933044,0.876114010810852,0.2035955786705017,0.5863168239593506
33.7,0.2025199681520462,0.43096956610679626,0.21147049963474274,0.19587430357933044,0.8759219646453857,0.20040719211101532,0.5578518509864807
36.1,0.20090657472610474,0.39850953221321106,0.20762906968593597,0.19587430357933044,0.8753841519355774,0.19867855310440063,0.5299631357192993
38.5,0.19994622468948364,0.371196985244751,0.20467117428779602,0.19587430357933044,0.8749231696128845,0.19779501855373383,0.5032652020454407
40.9,0.1988322138786316,0.3479563593864441,0.20282728970050812,0.19587430357933044,0.8745006322860718,0.19721880555152893,0.4804087281227112
43.3,0.19814075529575348,0.32621389627456665,0.20148278772830963,0.19587430357933044,0.8738475441932678,0.19675783812999725,0.4595881998538971
