var_resc,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
0.1,0.7233020663261414,0.8349339365959167,0.8072372674942017,0.8461124897003174,0.8783036470413208,0.8486862182617188,0.8690073490142822
0.3,0.8448063731193542,0.8448063731193542,0.860748291015625,0.8386601209640503,0.8783036470413208,0.8721573352813721,0.8793408274650574
0.5,0.8609787821769714,0.8484557271003723,0.8795328736305237,0.828787624835968,0.8783036470413208,0.882413923740387,0.8822603225708008
0.7,0.8662799596786499,0.8507221937179565,0.8864858746528625,0.8185310363769531,0.8783036470413208,0.8870236873626709,0.8827980756759644
0.9,0.8681622743606567,0.851874589920044,0.8884450197219849,0.8087354302406311,0.8783036470413208,0.888598620891571,0.8829517364501953
1.1,0.868354320526123,0.8523355722427368,0.8877535462379456,0.7937154173851013,0.8782652020454407,0.888752281665802,0.8837200403213501
1.3,0.867393970489502,0.8532959222793579,0.8864858746528625,0.774200975894928,0.8783036470413208,0.8883681893348694,0.8838352560997009
1.5,0.8647817969322205,0.8536032438278198,0.8830285668373108,0.7502304911613464,0.8783036470413208,0.8883297443389893,0.8847956657409668
1.7,0.86236172914505,0.8536800742149353,0.8799938559532166,0.7209972143173218,0.8783036470413208,0.8871773481369019,0.8850645422935486
1.9,0.858212947845459,0.8537569046020508,0.8752304911613464,0.6885756254196167,0.8783036470413208,0.8855255246162415,0.8851029276847839
2.1,0.8529502153396606,0.853142261505127,0.8705439567565918,0.6554241180419922,0.8783036470413208,0.8819145560264587,0.8851413726806641
2.3,0.8466503024101257,0.8525276780128479,0.8655501008033752,0.6204286813735962,0.8783036470413208,0.8786493539810181,0.8853334188461304
2.5,0.8391211032867432,0.8519514203071594,0.8583282232284546,0.5870466828346252,0.8783036470413208,0.8743085265159607,0.8856023550033569
2.7,0.8320528864860535,0.8519130349159241,0.852220356464386,0.5565457940101624,0.8783420324325562,0.8702750205993652,0.886216938495636
2.9,0.82513827085495,0.8513752222061157,0.8439996838569641,0.5247387886047363,0.8783804774284363,0.8655501008033752,0.8864474296569824
3.1,0.8161877393722534,0.850952684879303,0.8358942866325378,0.4961201548576355,0.8783420324325562,0.8595958948135376,0.8864474296569824
3.3,0.8062769174575806,0.8509142398834229,0.8279425501823425,0.46846190094947815,0.8783420324325562,0.8528733849525452,0.8862553834915161
3.5,0.7968654036521912,0.8507221937179565,0.818992018699646,0.44257068634033203,0.8783036470413208,0.8458435535430908,0.8864090442657471
3.7,0.7867240309715271,0.8499923348426819,0.8093884587287903,0.4185233414173126,0.8783036470413208,0.8390058279037476,0.886063277721405
3.9,0.7763906121253967,0.8495697379112244,0.8003994822502136,0.3967040479183197,0.8783036470413208,0.8320144414901733,0.8854870796203613
