mean_off,acc_lenet,acc_retinet
-2.0,0.1687999963760376,0.5776000022888184
-1.8,0.17839999496936798,0.6097999811172485
-1.6,0.19349999725818634,0.6412000060081482
-1.4,0.21679998934268951,0.6680999994277954
-1.2,0.25040000677108765,0.6980999708175659
-1.0,0.29999998211860657,0.7297999858856201
-0.8,0.35189998149871826,0.7700999975204468
-0.6,0.41679999232292175,0.8044999837875366
-0.4,0.5174999833106995,0.8381999731063843
-0.2,0.6521999835968018,0.8646999597549438
0.0,0.8862999677658081,0.8844999670982361
0.2,0.82669997215271,0.8743000030517578
0.4,0.661799967288971,0.8569999933242798
0.6,0.4781000018119812,0.8230999708175659
0.8,0.28779998421669006,0.7579999566078186
1.0,0.11509999632835388,0.6733999848365784
1.2,0.09999999403953552,0.597599983215332
1.4,0.09999999403953552,0.5419999957084656
1.6,0.09999999403953552,0.4940999746322632
1.8,0.09999999403953552,0.4440999925136566
2.0,0.09999999403953552,0.40059998631477356
