var_resc,acc_lenet,acc_bnlenet,acc_inlenet,acc_retinet
0.1,0.836899995803833,0.837399959564209,0.8983999490737915,0.8048999905586243
0.3,0.8593999743461609,0.8944999575614929,0.8984999656677246,0.8533999919891357
0.5,0.8722999691963196,0.9079999923706055,0.8984999656677246,0.8690999746322632
0.7,0.8807999491691589,0.9124999642372131,0.8984999656677246,0.8779999613761902
0.9,0.8855999708175659,0.9110999703407288,0.8983999490737915,0.8797000050544739
1.1,0.8833000063896179,0.906499981880188,0.8984999656677246,0.8804000020027161
1.3,0.8725999593734741,0.9016000032424927,0.8985999822616577,0.8797999620437622
1.5,0.8531000018119812,0.8950999975204468,0.8983999490737915,0.876800000667572
1.7,0.823699951171875,0.8887999653816223,0.8984999656677246,0.8737999796867371
1.9,0.7836999893188477,0.8801999688148499,0.8984999656677246,0.8708999752998352
2.1,0.7366999983787537,0.8718000054359436,0.8984999656677246,0.8672999739646912
2.3,0.6836999654769897,0.8639000058174133,0.8985999822616577,0.8648999929428101
2.5,0.6326999664306641,0.8543999791145325,0.8985999822616577,0.8604999780654907
2.7,0.590399980545044,0.8430999517440796,0.8984999656677246,0.8540999889373779
2.9,0.5511000156402588,0.8327999711036682,0.8986999988555908,0.8471999764442444
3.1,0.5170999765396118,0.821899950504303,0.8984999656677246,0.8395999670028687
3.3,0.48919999599456787,0.811199963092804,0.8985999822616577,0.8328999876976013
3.5,0.4666999876499176,0.8009999990463257,0.8984999656677246,0.8241999745368958
3.7,0.44290000200271606,0.7906999588012695,0.8983999490737915,0.8158999681472778
3.9,0.42229998111724854,0.7788999676704407,0.8986999988555908,0.8055999875068665
