mean_off,acc_lenet,acc_retinet
-2.0,0.1687999963760376,0.5227000117301941
-1.8,0.17839999496936798,0.5399999618530273
-1.6,0.19349999725818634,0.5573999881744385
-1.4,0.21679998934268951,0.579800009727478
-1.2,0.25040000677108765,0.6092000007629395
-1.0,0.29999998211860657,0.6489999890327454
-0.8,0.35189998149871826,0.6886999607086182
-0.6,0.41679999232292175,0.7383999824523926
-0.4,0.5174999833106995,0.7971000075340271
-0.2,0.6521999835968018,0.852899968624115
0.0,0.8862999677658081,0.8813999891281128
0.2,0.82669997215271,0.866599977016449
0.4,0.661799967288971,0.842199981212616
0.6,0.4781000018119812,0.8234999775886536
0.8,0.28779998421669006,0.8087999820709229
1.0,0.11509999632835388,0.7896999716758728
1.2,0.09999999403953552,0.763700008392334
1.4,0.09999999403953552,0.7347999811172485
1.6,0.09999999403953552,0.7014999985694885
1.8,0.09999999403953552,0.6599999666213989
2.0,0.09999999403953552,0.6162999868392944
