mean_off,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
-2.0,0.1687999963760376,0.8746999502182007,0.4348999857902527,0.8723999857902527,0.8983999490737915,0.7700999975204468,0.8671999573707581
-1.8,0.17839999496936798,0.8746999502182007,0.4509999752044678,0.8725000023841858,0.8982999920845032,0.7762999534606934,0.8673999905586243
-1.6,0.19370000064373016,0.8744999766349792,0.46639999747276306,0.8722999691963196,0.8985999822616577,0.7833999991416931,0.8671000003814697
-1.4,0.21639999747276306,0.8751999735832214,0.48420000076293945,0.8723999857902527,0.8984999656677246,0.790399968624115,0.8675000071525574
-1.2,0.25040000677108765,0.8756999969482422,0.5038999915122986,0.8722999691963196,0.8984999656677246,0.7971999645233154,0.8675999641418457
-1.0,0.3000999987125397,0.8763999938964844,0.5291999578475952,0.8720999956130981,0.8983999490737915,0.8033999800682068,0.8677999973297119
-0.8,0.35189998149871826,0.8764999508857727,0.5640000104904175,0.8721999526023865,0.8982999920845032,0.8132999539375305,0.8677999973297119
-0.6,0.41669997572898865,0.8769999742507935,0.627299964427948,0.8723999857902527,0.8981999754905701,0.8233999609947205,0.8676999807357788
-0.4,0.517799973487854,0.8772000074386597,0.7256999611854553,0.8722999691963196,0.8984999656677246,0.8359000086784363,0.8680999875068665
-0.2,0.6521999835968018,0.8774999976158142,0.8441999554634094,0.8723999857902527,0.8984999656677246,0.8517999649047852,0.8678999543190002
0.0,0.8862999677658081,0.877299964427948,0.9095999598503113,0.8723999857902527,0.8985999822616577,0.8800999522209167,0.868399977684021
0.2,0.82669997215271,0.8774999976158142,0.9000999927520752,0.8722999691963196,0.8983999490737915,0.878600001335144,0.8657999634742737
0.4,0.661799967288971,0.8776999711990356,0.8532999753952026,0.8723999857902527,0.8985999822616577,0.8718999624252319,0.865399956703186
0.6,0.4781999886035919,0.8777999877929688,0.7436999678611755,0.8722999691963196,0.8984999656677246,0.8652999997138977,0.8651999831199646
0.8,0.28779998421669006,0.8779999613761902,0.5425999760627747,0.8723999857902527,0.8983999490737915,0.8545999526977539,0.8640999794006348
1.0,0.11509999632835388,0.8779000043869019,0.32269999384880066,0.8723999857902527,0.8983999490737915,0.8443999886512756,0.863599956035614
1.2,0.09999999403953552,0.8784999847412109,0.17090000212192535,0.8725999593734741,0.8985999822616577,0.8330999612808228,0.863099992275238
1.4,0.09999999403953552,0.8783999681472778,0.14649999141693115,0.8725000023841858,0.8983999490737915,0.8212999701499939,0.8629999756813049
1.6,0.09999999403953552,0.8786999583244324,0.14299999177455902,0.8725999593734741,0.8985999822616577,0.8084999918937683,0.8621999621391296
1.8,0.09999999403953552,0.8784999847412109,0.140299990773201,0.8725999593734741,0.8985999822616577,0.7937999963760376,0.8623999953269958
2.0,0.09999999403953552,0.8784999847412109,0.13859999179840088,0.8723999857902527,0.8983999490737915,0.7782999873161316,0.8619999885559082
