mean_off,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
-12.0,0.10009999573230743,0.8524999618530273,0.022099999710917473,0.8718999624252319,0.8984999656677246,0.4194999933242798,0.8646000027656555
-10.8,0.1013999953866005,0.8556999564170837,0.023799998685717583,0.8718000054359436,0.8985999822616577,0.4499000012874603,0.8651999831199646
-9.6,0.10480000078678131,0.85999995470047,0.028199998661875725,0.8718000054359436,0.8980000019073486,0.4819999933242798,0.8650999665260315
-8.4,0.11309999972581863,0.8626999855041504,0.04129999876022339,0.8715999722480774,0.8984999656677246,0.5241999626159668,0.8651999831199646
-7.2,0.12139999866485596,0.8657000064849854,0.08079999685287476,0.8718999624252319,0.8978999853134155,0.5733000040054321,0.8650999665260315
-6.0,0.13169999420642853,0.8676999807357788,0.15709999203681946,0.8718000054359436,0.8982999920845032,0.6216999888420105,0.8648999929428101
-4.8,0.1395999938249588,0.8697999715805054,0.20819999277591705,0.8718000054359436,0.8985999822616577,0.6704999804496765,0.864799976348877
-3.6,0.14419999718666077,0.8714999556541443,0.3163999915122986,0.8720999956130981,0.8985999822616577,0.7168999910354614,0.8655999898910522
-2.4,0.156700000166893,0.8741999864578247,0.41269999742507935,0.8720999956130981,0.8982999920845032,0.7612999677658081,0.8664000034332275
-1.2,0.25040000677108765,0.8756999969482422,0.5038999915122986,0.8722999691963196,0.8984999656677246,0.7971999645233154,0.8675999641418457
0.0,0.8862999677658081,0.877299964427948,0.9095999598503113,0.8723999857902527,0.8985999822616577,0.8800999522209167,0.868399977684021
1.2,0.09999999403953552,0.8784999847412109,0.17090000212192535,0.8725999593734741,0.8985999822616577,0.8330999612808228,0.863099992275238
2.4,0.09999999403953552,0.8791999816894531,0.13580000400543213,0.8725999593734741,0.8983999490737915,0.7396000027656555,0.8619999885559082
3.6,0.09999999403953552,0.8789999485015869,0.12459999322891235,0.8727999925613403,0.8982999920845032,0.6258000135421753,0.861299991607666
4.8,0.09999999403953552,0.8792999982833862,0.10859999805688858,0.8732999563217163,0.8981999754905701,0.5331000089645386,0.8615999817848206
6.0,0.09999999403953552,0.8794999718666077,0.10029999911785126,0.8726999759674072,0.8982999920845032,0.46939998865127563,0.8614999651908875
7.2,0.09999999403953552,0.8786999583244324,0.09999999403953552,0.873199999332428,0.8985999822616577,0.43230000138282776,0.861299991607666
8.4,0.09999999403953552,0.8787999749183655,0.09999999403953552,0.8733999729156494,0.8981999754905701,0.4050999879837036,0.8610000014305115
9.6,0.09999999403953552,0.8769999742507935,0.09999999403953552,0.8728999495506287,0.8984999656677246,0.3807999789714813,0.861299991607666
10.8,0.09999999403953552,0.8764999508857727,0.09999999403953552,0.8732999563217163,0.8978999853134155,0.3610999882221222,0.8610999584197998
12.0,0.09999999403953552,0.875,0.09999999403953552,0.8738999962806702,0.8984999656677246,0.34369999170303345,0.8613999485969543
