var_resc,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
0.1,0.836899995803833,0.8658999800682068,0.837399959564209,0.8812999725341797,0.8983999490737915,0.8048999905586243,0.8479999899864197
1.3,0.8725999593734741,0.8773999810218811,0.9016000032424927,0.8679999709129333,0.8985999822616577,0.8797999620437622,0.8675000071525574
2.5,0.6326999664306641,0.8766999840736389,0.8543999791145325,0.8384000062942505,0.8985999822616577,0.8604999780654907,0.8696999549865723
3.7,0.44290000200271606,0.8748999834060669,0.7906999588012695,0.7945999503135681,0.8983999490737915,0.8158999681472778,0.8680999875068665
4.9,0.34869998693466187,0.8712999820709229,0.7178999781608582,0.7421000003814697,0.8985999822616577,0.7484999895095825,0.8664999604225159
6.1,0.28759998083114624,0.864799976348877,0.6365999579429626,0.6873999834060669,0.8983999490737915,0.6850000023841858,0.8640999794006348
7.3,0.2638999819755554,0.8560999631881714,0.5546999573707581,0.6403999924659729,0.8982999920845032,0.6240000128746033,0.85999995470047
8.5,0.2505999803543091,0.8468999862670898,0.45719999074935913,0.5978999733924866,0.898099958896637,0.566100001335144,0.8527999520301819
9.7,0.24309998750686646,0.8356999754905701,0.3805999755859375,0.5672999620437622,0.8980000019073486,0.5108999609947205,0.8440999984741211
10.9,0.23559999465942383,0.8206999897956848,0.31379997730255127,0.5475999712944031,0.8976999521255493,0.4658999741077423,0.833899974822998
12.1,0.22709999978542328,0.8032000064849854,0.26409998536109924,0.5331000089645386,0.897599995136261,0.4195999801158905,0.8233999609947205
13.3,0.21779999136924744,0.7836999893188477,0.22609999775886536,0.523099958896637,0.8973000049591064,0.3774999976158142,0.8115999698638916
14.5,0.20639999210834503,0.7594999670982361,0.1955999881029129,0.5135999917984009,0.8971999883651733,0.3384999930858612,0.7990999817848206
15.7,0.1938999891281128,0.733299970626831,0.1744999885559082,0.5040000081062317,0.8968999981880188,0.30300000309944153,0.7849999666213989
16.9,0.1809999942779541,0.7045999765396118,0.15799999237060547,0.49300000071525574,0.8966999650001526,0.2678999900817871,0.7694000005722046
18.1,0.17099998891353607,0.6777999997138977,0.149399995803833,0.48179998993873596,0.8966999650001526,0.23579999804496765,0.7542999982833862
19.3,0.16179999709129333,0.6504999995231628,0.14399999380111694,0.4715999960899353,0.8962000012397766,0.20889998972415924,0.7386999726295471
20.5,0.15559999644756317,0.6216999888420105,0.1410999894142151,0.4601999819278717,0.8956999778747559,0.19009999930858612,0.7202999591827393
21.7,0.14999999105930328,0.5925999879837036,0.13859999179840088,0.44699999690055847,0.8956999778747559,0.17299999296665192,0.7010999917984009
22.9,0.14549998939037323,0.5623999834060669,0.13660000264644623,0.4351999759674072,0.8952999711036682,0.15850000083446503,0.6807999610900879
