var_resc,acc_lenet,acc_retinet
0.1,0.8369999527931213,0.8059999942779541
0.3,0.8593999743461609,0.8488999605178833
0.5,0.8722999691963196,0.8667999505996704
0.7,0.8806999921798706,0.8782999515533447
0.9,0.8854999542236328,0.8836999535560608
1.1,0.8833999633789062,0.8835999965667725
1.3,0.8725999593734741,0.8779000043869019
1.5,0.8531999588012695,0.8728999495506287
1.7,0.8237999677658081,0.8664000034332275
1.9,0.7838000059127808,0.8585000038146973
2.1,0.7365999817848206,0.849399983882904
2.3,0.6836999654769897,0.8400999903678894
2.5,0.6326000094413757,0.8277999758720398
2.7,0.590399980545044,0.8188999891281128
2.9,0.5511999726295471,0.808899998664856
3.1,0.5170999765396118,0.7958999872207642
3.3,0.4892999827861786,0.7813999652862549
3.5,0.4666000008583069,0.7666999697685242
3.7,0.44290000200271606,0.7522000074386597
3.9,0.42249998450279236,0.7391999959945679
