mean_off,acc_lenet,acc_retinet
-2.0,0.11969999969005585,0.3644999861717224
-1.8,0.12709999084472656,0.4156000018119812
-1.6,0.1331000030040741,0.47200000286102295
-1.4,0.13779999315738678,0.5360999703407288
-1.2,0.14339999854564667,0.6006999611854553
-1.0,0.15060000121593475,0.6640999913215637
-0.8,0.1589999943971634,0.752299964427948
-0.6,0.17029999196529388,0.8593999743461609
-0.4,0.20479999482631683,0.9510999917984009
-0.2,0.4822999835014343,0.9813999533653259
0.0,0.9908999800682068,0.9856999516487122
0.2,0.8586999773979187,0.9833999872207642
0.4,0.45749998092651367,0.9714999794960022
0.6,0.22869999706745148,0.9429999589920044
0.8,0.15029999613761902,0.8721999526023865
1.0,0.11889999359846115,0.7601999640464783
1.2,0.10369999706745148,0.6340000033378601
1.4,0.10179999470710754,0.5156999826431274
1.6,0.1022999957203865,0.4154999852180481
1.8,0.10279999673366547,0.3296999931335449
2.0,0.10279999673366547,0.26739999651908875
