var_resc,acc_lenet,acc_retinet
0.1,0.9149999618530273,0.9717999696731567
0.3,0.9763000011444092,0.9824999570846558
0.5,0.9866999983787537,0.9857999682426453
0.7,0.9896999597549438,0.9868999719619751
0.9,0.9910999536514282,0.9873999953269958
1.1,0.9900999665260315,0.9869999885559082
1.3,0.9871999621391296,0.9856999516487122
1.5,0.9790999889373779,0.98499995470047
1.7,0.9661999940872192,0.9843999743461609
1.9,0.9426999688148499,0.9842000007629395
2.1,0.9080999493598938,0.9830999970436096
2.3,0.8604999780654907,0.98089998960495
2.5,0.8064000010490417,0.9779999852180481
2.7,0.7511999607086182,0.9746999740600586
2.9,0.7019000053405762,0.9718999862670898
3.1,0.6536999940872192,0.9685999751091003
3.3,0.606499969959259,0.9637999534606934
3.5,0.564300000667572,0.9576999545097351
3.7,0.521399974822998,0.9527999758720398
3.9,0.48539999127388,0.9469999670982361
