mean_off,acc_lenet,acc_retinet
-2.0,0.11969999969005585,0.12919999659061432
-1.8,0.12709999084472656,0.13539999723434448
-1.6,0.1331000030040741,0.142099991440773
-1.4,0.13779999315738678,0.14890000224113464
-1.2,0.14339999854564667,0.1599999964237213
-1.0,0.15060000121593475,0.18469999730587006
-0.8,0.1589999943971634,0.24159999191761017
-0.6,0.17029999196529388,0.31839999556541443
-0.4,0.20479999482631683,0.4635999798774719
-0.2,0.4822999835014343,0.7688999772071838
0.0,0.9908999800682068,0.9873999953269958
0.2,0.8586999773979187,0.9771999716758728
0.4,0.45749998092651367,0.9386000037193298
0.6,0.22869999706745148,0.8606999516487122
0.8,0.15029999613761902,0.7493000030517578
1.0,0.11889999359846115,0.6392999887466431
1.2,0.10369999706745148,0.5288000106811523
1.4,0.10179999470710754,0.44919997453689575
1.6,0.1022999957203865,0.3781999945640564
1.8,0.10279999673366547,0.31919997930526733
2.0,0.10279999673366547,0.271699994802475
