mean_off,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
-12.0,0.0973999947309494,0.9829999804496765,0.0973999947309494,0.9782999753952026,0.9901999831199646,0.0973999947309494,0.986799955368042
-10.8,0.0973999947309494,0.9835000038146973,0.0973999947309494,0.9782999753952026,0.9901999831199646,0.0973999947309494,0.9869999885559082
-9.6,0.0973999947309494,0.9835000038146973,0.0973999947309494,0.9784999489784241,0.9901999831199646,0.0973999947309494,0.986799955368042
-8.4,0.0973999947309494,0.9840999841690063,0.0973999947309494,0.9783999919891357,0.9901999831199646,0.0973999947309494,0.9864999651908875
-7.2,0.0973999947309494,0.9842999577522278,0.10429999977350235,0.9785999655723572,0.9901999831199646,0.0973999947309494,0.986799955368042
-6.0,0.0973999947309494,0.9845999479293823,0.12370000034570694,0.9785999655723572,0.9901999831199646,0.0973999947309494,0.986799955368042
-4.8,0.0973999947309494,0.9854999780654907,0.09829999506473541,0.9783999919891357,0.9901999831199646,0.0973999947309494,0.9868999719619751
-3.6,0.0973999947309494,0.9857999682426453,0.10019999742507935,0.9781999588012695,0.9901999831199646,0.0973999947309494,0.9871999621391296
-2.4,0.1070999950170517,0.986299991607666,0.16040000319480896,0.9782999753952026,0.9901999831199646,0.0973999947309494,0.9874999523162842
-1.2,0.14329999685287476,0.9860999584197998,0.21639999747276306,0.9782999753952026,0.9901999831199646,0.10869999974966049,0.9875999689102173
0.0,0.9908999800682068,0.9860999584197998,0.991599977016449,0.9782999753952026,0.9901999831199646,0.988099992275238,0.9882999658584595
1.2,0.10369999706745148,0.9857999682426453,0.02419999986886978,0.9782999753952026,0.9901999831199646,0.6559000015258789,0.9873999953269958
2.4,0.10279999673366547,0.9861999750137329,0.05609999969601631,0.9783999919891357,0.9901999831199646,0.13409999012947083,0.9870999455451965
3.6,0.10279999673366547,0.986299991607666,0.08649999648332596,0.9783999919891357,0.9901999831199646,0.11349999904632568,0.9868999719619751
4.8,0.10279999673366547,0.9863999485969543,0.10099999606609344,0.9783999919891357,0.9901999831199646,0.11349999904632568,0.9866999983787537
6.0,0.10279999673366547,0.9865999817848206,0.10159999877214432,0.9784999489784241,0.9901999831199646,0.11349999904632568,0.9864999651908875
7.2,0.10279999673366547,0.9868999719619751,0.10099999606609344,0.9783999919891357,0.9901999831199646,0.11349999904632568,0.9863999485969543
8.4,0.10279999673366547,0.9864999651908875,0.10099999606609344,0.9784999489784241,0.9900999665260315,0.11349999904632568,0.986299991607666
9.6,0.10279999673366547,0.9863999485969543,0.10099999606609344,0.9784999489784241,0.9901999831199646,0.11349999904632568,0.9863999485969543
10.8,0.10279999673366547,0.9864999651908875,0.10099999606609344,0.9783999919891357,0.9901999831199646,0.11349999904632568,0.9863999485969543
12.0,0.10279999673366547,0.9864999651908875,0.10099999606609344,0.9782999753952026,0.9901999831199646,0.11349999904632568,0.9861999750137329
