var_resc,acc_lenet,acc_lenet_aug,acc_bnlenet,acc_bnlenet_aug,acc_inlenet,acc_retinet,acc_retinet_aug
0.1,0.9149999618530273,0.98499995470047,0.9611999988555908,0.9854999780654907,0.9901999831199646,0.9835999608039856,0.9850999712944031
1.3,0.9871999621391296,0.9860999584197998,0.988599956035614,0.9753999710083008,0.9901999831199646,0.9878999590873718,0.9886999726295471
2.5,0.8061999678611755,0.9853000044822693,0.8246999979019165,0.9684000015258789,0.9901999831199646,0.9736999869346619,0.9888999462127686
3.7,0.5212999582290649,0.9842000007629395,0.515500009059906,0.9565999507904053,0.9901999831199646,0.9214999675750732,0.9890999794006348
4.9,0.3296000063419342,0.9829999804496765,0.3382999897003174,0.9395999908447266,0.9901999831199646,0.8057999610900879,0.9891999959945679
6.1,0.23189999163150787,0.9809999465942383,0.24169999361038208,0.9154999852180481,0.9900999665260315,0.6306999921798706,0.9887999892234802
7.3,0.17999999225139618,0.9784999489784241,0.19439999759197235,0.8852999806404114,0.9900999665260315,0.4934999942779541,0.9886999726295471
8.5,0.14389999210834503,0.9745999574661255,0.1582999974489212,0.852899968624115,0.9900999665260315,0.4016000032424927,0.9874999523162842
9.7,0.12079999595880508,0.9715999960899353,0.13109999895095825,0.8234999775886536,0.9901999831199646,0.336899995803833,0.9861999750137329
10.9,0.10929999500513077,0.9685999751091003,0.11819999665021896,0.7925999760627747,0.9901999831199646,0.2881999909877777,0.984499990940094
12.1,0.10349999368190765,0.963699996471405,0.1143999993801117,0.761199951171875,0.9901999831199646,0.25200000405311584,0.9815999865531921
13.3,0.10179999470710754,0.9594999551773071,0.11229999363422394,0.7348999977111816,0.9901999831199646,0.2223999947309494,0.9782999753952026
14.5,0.1005999967455864,0.9548999667167664,0.11149999499320984,0.7085999846458435,0.9901999831199646,0.20080000162124634,0.974299967288971
15.7,0.09969999641180038,0.9497999548912048,0.11079999804496765,0.6829999685287476,0.9901999831199646,0.18140000104904175,0.9695000052452087
16.9,0.09910000115633011,0.9420999884605408,0.10999999940395355,0.6553999781608582,0.9901999831199646,0.1665000021457672,0.9634999632835388
18.1,0.09910000115633011,0.9373999834060669,0.10969999432563782,0.6261000037193298,0.9902999997138977,0.15379999577999115,0.9540999531745911
19.3,0.09879999607801437,0.9294999837875366,0.10929999500513077,0.6031999588012695,0.9902999997138977,0.14350000023841858,0.9430999755859375
20.5,0.09869999438524246,0.921999990940094,0.10819999873638153,0.5740999579429626,0.9902999997138977,0.13519999384880066,0.9296999573707581
21.7,0.09839999675750732,0.9140999913215637,0.10809999704360962,0.5468999743461609,0.9902999997138977,0.12849999964237213,0.911899983882904
22.9,0.0982000008225441,0.906499981880188,0.10779999941587448,0.5209999680519104,0.990399956703186,0.12379999458789825,0.8912999629974365
