var_resc,acc_lenet,acc_retinet
0.1,0.8369999527931213,0.8050000071525574
0.3,0.8593999743461609,0.8533999919891357
0.5,0.8722999691963196,0.8690999746322632
0.7,0.8806999921798706,0.8779000043869019
0.9,0.8854999542236328,0.8795999884605408
1.1,0.8833999633789062,0.8804000020027161
1.3,0.8725999593734741,0.8797999620437622
1.5,0.8531999588012695,0.876800000667572
1.7,0.8237999677658081,0.873699963092804
1.9,0.7838000059127808,0.8708999752998352
2.1,0.7365999817848206,0.8672999739646912
2.3,0.6836999654769897,0.8648999929428101
2.5,0.6326000094413757,0.8604999780654907
2.7,0.590399980545044,0.8540999889373779
2.9,0.5511999726295471,0.8471999764442444
3.1,0.5170999765396118,0.8395999670028687
3.3,0.4892999827861786,0.8328999876976013
3.5,0.4666000008583069,0.8242999911308289
3.7,0.44290000200271606,0.8158999681472778
3.9,0.42249998450279236,0.8055999875068665
