var_resc,acc_lenet,acc_retinet
0.1,0.7233020663261414,0.8486862182617188
0.3,0.8448063731193542,0.8721573352813721
0.5,0.8609787821769714,0.882413923740387
0.7,0.8662799596786499,0.8870236277580261
0.9,0.868162214756012,0.888598620891571
1.1,0.868354320526123,0.888752281665802
1.3,0.867393970489502,0.8883681297302246
1.5,0.8647817969322205,0.8883297443389893
1.7,0.8623616695404053,0.8871772885322571
1.9,0.858212947845459,0.8855254650115967
2.1,0.8529502153396606,0.8819145560264587
2.3,0.846650242805481,0.8786493539810181
2.5,0.8391210436820984,0.8743085265159607
2.7,0.8320528268814087,0.8702750205993652
2.9,0.82513827085495,0.8655501008033752
3.1,0.8161877393722534,0.8595958352088928
3.3,0.8062768578529358,0.8528733849525452
3.5,0.7968654036521912,0.8458435535430908
3.7,0.7867240309715271,0.8390058279037476
3.9,0.776390552520752,0.8320144414901733
