var_resc,acc_lenet,acc_retinet
0.1,0.9149999618530273,0.9835999608039856
0.3,0.9763000011444092,0.9853999614715576
0.5,0.9866999983787537,0.9869999885559082
0.7,0.9896999597549438,0.9878999590873718
0.9,0.9910999536514282,0.9881999492645264
1.1,0.9900999665260315,0.9881999492645264
1.3,0.9871999621391296,0.9878999590873718
1.5,0.9790999889373779,0.9861999750137329
1.7,0.9661999940872192,0.9848999977111816
1.9,0.9426999688148499,0.9824000000953674
2.1,0.9080999493598938,0.9795999526977539
2.3,0.8604999780654907,0.9774999618530273
2.5,0.8064000010490417,0.9736999869346619
2.7,0.7511999607086182,0.9678999781608582
2.9,0.7019000053405762,0.9625999927520752
3.1,0.6536999940872192,0.9557999968528748
3.3,0.606499969959259,0.946899950504303
3.5,0.564300000667572,0.9359999895095825
3.7,0.521399974822998,0.9214999675750732
3.9,0.48539999127388,0.9070000052452087
